Running task with datatype: real, p: 4
[0]	eval-rmse:61.84162
[1]	eval-rmse:58.11126
[2]	eval-rmse:54.87201
[3]	eval-rmse:52.05721
[4]	eval-rmse:49.59840
[5]	eval-rmse:47.56103
[6]	eval-rmse:45.72694
[7]	eval-rmse:44.14781
[8]	eval-rmse:42.79566
[9]	eval-rmse:41.68501
[10]	eval-rmse:40.66491
[11]	eval-rmse:39.86805
[12]	eval-rmse:39.15900
[13]	eval-rmse:38.60279
[14]	eval-rmse:38.10638
[15]	eval-rmse:37.72219
[16]	eval-rmse:37.39376
[17]	eval-rmse:37.10314
[18]	eval-rmse:36.88316
[19]	eval-rmse:36.67292
[20]	eval-rmse:36.39324
[21]	eval-rmse:36.20079
[22]	eval-rmse:36.00116
[23]	eval-rmse:35.91438
[24]	eval-rmse:35.83439
[25]	eval-rmse:35.76589
[26]	eval-rmse:35.68660
[27]	eval-rmse:35.65200
[28]	eval-rmse:35.59446
[29]	eval-rmse:35.54648
[30]	eval-rmse:35.51628
[31]	eval-rmse:35.48699
[32]	eval-rmse:35.45639
[33]	eval-rmse:35.44137
[34]	eval-rmse:35.43802
[35]	eval-rmse:35.40609
[36]	eval-rmse:35.40207
[37]	eval-rmse:35.34133
[38]	eval-rmse:35.30046
[39]	eval-rmse:35.28662
[40]	eval-rmse:35.28138
[41]	eval-rmse:35.27930
[42]	eval-rmse:35.26656
[43]	eval-rmse:35.22404
[44]	eval-rmse:35.21403
[45]	eval-rmse:35.18899
[46]	eval-rmse:35.15024
[47]	eval-rmse:35.15012
[48]	eval-rmse:35.13457
[49]	eval-rmse:35.13889
[50]	eval-rmse:35.11308
[51]	eval-rmse:35.10530
[52]	eval-rmse:35.06398
[53]	eval-rmse:35.07076
[54]	eval-rmse:35.07392
[55]	eval-rmse:35.04416
[56]	eval-rmse:35.04571
[57]	eval-rmse:35.04455
[58]	eval-rmse:35.04307
[59]	eval-rmse:35.05003
[60]	eval-rmse:35.03617
[61]	eval-rmse:35.05686
[62]	eval-rmse:35.06421
[63]	eval-rmse:35.06519
[64]	eval-rmse:35.06181
[65]	eval-rmse:35.06662
[66]	eval-rmse:35.06256
[67]	eval-rmse:35.06030
[68]	eval-rmse:35.04351
[69]	eval-rmse:35.06922
[70]	eval-rmse:35.09637
[71]	eval-rmse:35.10296
[72]	eval-rmse:35.10069
[73]	eval-rmse:35.11163
[74]	eval-rmse:35.09885
[75]	eval-rmse:35.09033
[76]	eval-rmse:35.08179
[77]	eval-rmse:35.05008
[78]	eval-rmse:35.06185
[79]	eval-rmse:35.07016
[80]	eval-rmse:35.08269
/home/panwei/he000176/.conda/envs/tcn/lib/python3.7/site-packages/rpy2/robjects/pandas2ri.py:14: FutureWarning: pandas.core.index is deprecated and will be removed in a future version.  The public classes are available in the top-level namespace.
  from pandas.core.index import Index as PandasIndex
